Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
All I Ask of You (Feat. Penny)	Skrillex		Scary Monsters and Nice Sprites		Electronica	14281311	340			4		2010	22/08/2011 17:40	24/09/2013 23:49	320	48000		MPEG audio file			4	10/12/2013 19:40			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Skrillex\Scary Monsters and Nice Sprites\04 All I Ask of You (Feat. Penny).mp3
Scatta (Feat. Bare Noize & Foreign Beggars)	Skrillex		Scary Monsters and Nice Sprites		Electronica	10063084	234			5		2010	22/08/2011 17:40	24/09/2013 23:49	320	48000		MPEG audio file			6	10/12/2013 20:20			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Skrillex\Scary Monsters and Nice Sprites\05 Scatta (Feat. Bare Noize & Foreig.mp3
Breakn' a Sweat	Skrillex & The Doors		Bangarang		Dance	12272631	302	1	1	3	8	2011	10/12/2012 0:18	24/09/2013 23:49	320	44100		MPEG audio file			5	10/12/2013 20:31			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Skrillex\Bangarang\03 Breakn' a Sweat.mp3
Tainted love	Soft Cel					5019776	354			1		2011	26/04/2011 14:56	24/09/2013 23:49	112	44100		MPEG audio file		www.dvdvideosoft.com	1				60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Soft Cel\Unknown Album\01 Tainted love.mp3
Kiss My Trance	The Subs	Jeroen De Pessemier, Wiebe Loccufier	Dr. Lektroluv live recorded at Rock Werchter		Electronic	4866541	303	1	1	8	18	2007	14/09/2011 14:46	24/09/2013 23:49	128	44100		AAC audio file		Cleaned by TuneUp!	4		1	28/11/2013 1:30	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Compilations\Dr. Lektroluv live recorded at Rock Werc\08 Kiss My Trance.m4a
Hands In Your Pockets (feat. Jahcoozi)	Sukh Knight		Cheese Loueez EP		Dubstep	5253403	278			2		2009	14/03/2012 15:50	24/09/2013 23:49	150	44100		MPEG audio file			3		1	24/10/2013 0:05	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Sukh Knight\Cheese Loueez EP\02 Hands In Your Pockets (feat. Jahc.mp3
B.Y.O.B. (Explicit Version)	System Of A Down	Daron Malakian/Serj Tankian	System Of A Down		Metal	8252228	257			2	2	2005	7/07/2013 14:47	24/09/2013 23:49	256	44100		MPEG audio file		B.Y.O.B.	2				60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System Of A Down\System Of A Down\02 B.Y.O.B. (Explicit Version).mp3
Forest	System Of A Down	Daron Malakian/Serj Tankian	Toxicity		Alternative Metal	3840000	240			8		2001	22/09/2010 2:07	1/11/2013 20:20	128	44100		MPEG audio file		 00002409 00002475 0000742B 000067BB 000138C5 000138C5 00008000 00008000 0000EA77 00004E37	2	28/12/2013 22:20			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System of a Down\Toxicity\08 Forest.mp3
Atwa	System Of A Down	Daron Malakian/Serj Tankian	Toxicity		Alternative Metal	2818048	176			9		2001	22/09/2010 2:07	1/11/2013 20:20	128	44100		MPEG audio file			1	14/11/2013 12:59			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System of a Down\Toxicity\09 Atwa.mp3
I Made This for You	Tim Ismag		I Made This for You EP		Dubstep	11020501	274			1	5	2012	29/12/2012 20:07	24/09/2013 23:49	320	44100		MPEG audio file			2	3/11/2013 19:44			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Tim Ismag\I Made This for You EP\01 I Made This for You.mp3
