Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Intro	The xx	Baria Qureshi	xx		Indie Rock	4231451	127	1	1	1	11	2009	11/11/2012 14:03	1/11/2013 20:20	256	44100		AAC audio file			8	3/01/2014 23:15			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The xx\xx\01 Intro.m4a
The Huntmaster	Alestorm		Captain Morgan's Revenge		Metal	9840828	299			3	10	2008	13/09/2013 21:26	24/09/2013 23:49	244	44100		MPEG audio file			7	4/01/2014 18:39	2	3/01/2014 23:15	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Alestorm\Captain Morgan's Revenge\03 The Huntmaster.mp3
Wenches & Mead	Alestorm		Captain Morgan's Revenge		Metal	7342121	222			9	10	2008	13/09/2013 21:26	24/09/2013 23:49	239	44100		MPEG audio file			4	4/01/2014 19:02			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Alestorm\Captain Morgan's Revenge\09 Wenches & Mead.mp3
Sprawl II (Mountains Beyond Mountains)	Arcade Fire	Arcade Fire	The Suburbs		Rock	13696468	325			15	16	2010	30/09/2012 22:32	24/09/2013 23:49	320	44100		MPEG audio file		 00000C73 0000101E 00004576 00007EDB 00001E62 00038B7B 00008000 00008000 000010C7 00000C27	5	15/12/2013 20:04	1	28/11/2013 0:59	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Arcade Fire\The Suburbs\15 Sprawl II (Mountains Beyond Mount.mp3
Rock and Roll Music	The Beatles	Chuck Berry			Rock	3556011	152			4	14	2009	18/10/2013 1:23	24/09/2013 23:49	186	44100		MPEG audio file			3	10/12/2013 13:44			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Beatles\Beatles For Sale\04 Rock and Roll Music.mp3
Song 2	Blur	Alex James/Damon Albarn/Dave Rowntree/Graham Coxon	Blur		Brit Pop	3915392	242			2		1997	6/01/2014 1:40	3/11/2013 21:05	128	44100		MPEG audio file		Ja dit is de echte naam ;)					80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Blur\Blur\02 Song 2.mp3
Tears Don't Fall	Bullet for My Valentine	Bullet for My Valentine/Matthew Tuck	Tears don't fall (CDM)		Metal	13412400	348			4		2005	13/09/2013 21:00	24/09/2013 23:49	247	44100		MPEG audio file			3				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Bullet for My Valentine\Tears don't fall (CDM)\04 Tears Don't Fall.mp3
The Cell	C2C		Tetra		Rap	11984163	299	1	1	1	14	2012	29/12/2012 14:23	24/09/2013 23:49	320	44100		MPEG audio file		www.NewAlbumReleases.net	67	13/11/2013 23:54			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\C2C\Tetra\01 The Cell.mp3
Down The Road	C2C		Tetra		Rap	8292544	207	1	1	2	14	2012	29/12/2012 14:23	24/09/2013 23:49	320	44100		MPEG audio file		www.NewAlbumReleases.net	5	5/11/2013 19:43			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\C2C\Tetra\02 Down The Road.mp3
06 Run Riot	Camo & Krooked					11046779	276						13/08/2012 19:09	24/09/2013 23:49	320	44100		MPEG audio file							80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Camo & Krooked\Unknown Album\06 Run Riot.mp3
Rise & Fall	Craig David					6924626	287						24/10/2013 0:24	24/09/2013 23:49	192	44100		MPEG audio file			3	24/10/2013 12:12			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\07 Rise & Fall.mp3
Knobbers(Original Mix)	Crookers			Southern Fried	Electronic	9725016	301			1		2008	7/01/2014 21:32	24/09/2013 23:49	256	44100		MPEG audio file		Cleaned by TuneUp!	7	8/11/2013 19:05			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Crookers\Knobbers EP\01 Knobbers(Original Mix).mp3
Protocol	Daan		Simple 		Pop	8269474	328			1		2010	28/02/2012 17:49	24/09/2013 23:49	200	44100		MPEG audio file		. . .	9	10/12/2013 17:04	1	6/10/2013 20:31	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Daan\Simple\01 Protocol.mp3
Harder, Better, Faster, Stronger	Daft Punk		Discovery		Electrónica	9119373	226			4		2001	15/12/2013 1:18	24/09/2013 23:49	320	44100		MPEG audio file			1		2	15/12/2013 1:17	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Daft Punk\Discovery\04 Harder, Better, Faster, Stronger.mp3
Love Someone	Dub FX		Everythinks A Ripple		Hip-Hop	10582016	264			3	14	2009	13/09/2013 21:27	24/09/2013 23:49	320	44100		MPEG audio file			8	18/12/2013 20:50	1	3/01/2014 23:06	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\03 Love Someone.mp3
Fly With Me	Dub FX		Everythinks A Ripple		Hip-Hop	16130164	402			6	14	2009	13/09/2013 21:27	24/09/2013 23:49	320	44100		MPEG audio file			4	18/12/2013 21:10			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\06 Fly With Me.mp3
Future	Dub FX		Everythinks A Ripple		Hip-Hop	11807005	294			8	14	2009	13/09/2013 21:28	24/09/2013 23:49	320	44100		MPEG audio file			2	18/12/2013 21:20			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\08 Future.mp3
Intensions	Dub FX		Everythinks A Ripple		Hip-Hop	10163489	253			9	14	2009	13/09/2013 21:28	24/09/2013 23:49	320	44100		MPEG audio file			2	18/12/2013 21:24			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\09 Intensions.mp3
Step On My Trip	Dub FX		Everythinks A Ripple		Hip-Hop	15089636	376			10	14	2009	13/09/2013 21:28	24/09/2013 23:49	320	44100		MPEG audio file			1	18/12/2013 21:30			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\10 Step On My Trip.mp3
Time Will Tell (feat. Mr. Woodnote & Flower Fairy)	Dub FX		Everythinks A Ripple		Hip-Hop	19483646	487			14	14	2009	25/04/2013 15:20	24/09/2013 23:49	320	44100		MPEG audio file			1	18/12/2013 20:42			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\14 Time Will Tell (feat. Mr. Woodnot.mp3
Animals of Farthing Wood	Emile					338833	60						19/12/2013 0:18	2/11/2013 23:51	43	44100		MPEG audio file			13	28/12/2013 20:11	3	28/11/2013 1:13	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\Animals of Farthing Wood.mp3
Sing For The Moment	Eminem	Jeff Bass/L. Resto/Luis Resto/M. Mathers/Marshall Mathers/S. King/S. Tyler/Steven King/Steven Tyler	Curtain Call		Rap	13650857	340	1		8		2005	13/09/2013 21:02	24/09/2013 23:49	320	44100		MPEG audio file		Cleaned by TuneUp!	8	13/12/2013 22:04			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Eminem\Curtain Call\1-08 Sing For The Moment.mp3
Crack A Bottle	Eminem	A-Young/Eminem/Curtis Jackson/Derrick Parker/T. E. Lawrence/M. Batson/Erik Coomes/J. Renard	Relapse		Rap	13944900	297	1	1	18	20	2009	13/09/2013 21:41	24/09/2013 23:49	256	44100		AAC audio file			9	13/12/2013 22:27	2	13/12/2013 22:27	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Eminem\Relapse\18 Crack A Bottle.m4a
Lose Yourself	Eminem					13186201	326						13/09/2013 21:25	24/09/2013 23:49	320	44100		MPEG audio file			10	13/12/2013 22:44			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Eminem\Unknown Album\Lose Yourself.mp3
Hero In A Dream	Ensiferum		Ensiferum		Metal	8944644	220			2		2001	13/09/2013 21:26	24/09/2013 23:49	320	44100		MPEG audio file		 	4	10/10/2013 13:51			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Ensiferum\Ensiferum\02 Hero In A Dream.mp3
Mana	Equilibrium	Helge Stang - Vocals, René Berthiaume - Guitar/Keyboards, Andreas Völkl - Guitar, Sandra Völkl - Bass, Manu Di Camillo - Drums	Sagas	Studio Album 	Epic Folk/Viking Metal	39530380	983	1	1	13	13	2008	13/09/2013 21:26	24/09/2013 23:49	320	44100		MPEG audio file		By Stan	4		2	19/12/2013 16:21	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Equilibrium\Sagas\13 Mana.mp3
Sweet Dreams	Eurythmics					3037866	214			1		2011	13/09/2013 22:10	24/09/2013 23:49	111	44100	143	MPEG audio file		www.dvdvideosoft.com	7	14/12/2013 0:51			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Eurythmics\Unknown Album\01 Sweet Dreams.mp3
Execute	Excision		X Rated		Dubstep	9934036	246					2011	28/08/2013 21:02	24/09/2013 23:49	320	44100		MPEG audio file			5	13/12/2013 23:32			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Excision\X Rated\Execute.mp3
Insomnia (Monster Mix)	Faithless	Rollo/Sister Bliss/Maxi Jazzoက	The Greatest Hits - Forever Faithless		Trip hop, Dance	20965075	522	1	1	1	16	2005	13/09/2013 21:42	24/09/2013 23:49	320	44100		MPEG audio file			2	5/12/2013 0:41			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Faithless\The Greatest Hits - Forever Faithless\01 Insomnia (Monster Mix).mp3
God Is A DJ	Faithless	Sister Bliss/Rollo/Jamie Catto/Maxi Jazz袉 蜣s匠	The Greatest Hits - Forever Faithless		Trip hop, Dance	8426316	208	1	1	3	16	2005	13/09/2013 21:03	24/09/2013 23:49	320	44100		MPEG audio file			4	5/12/2013 0:48			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Faithless\The Greatest Hits - Forever Faithless\03 God Is A DJ.mp3
I Can't Stop	Flux Pavillion		Dubstep		Film Soundtrack	9051762	220						5/09/2012 1:17	24/09/2013 23:49	320	44100		MPEG audio file			6	5/11/2013 22:48	1	8/11/2013 18:51	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Flux Pavillion\Dubstep\I Can't Stop.mp3
Rhinestone Eyes	Gorillaz		Plastic Beach		Alternative	4410815	197			4		2010	26/09/2013 13:41	26/09/2013 13:54	175	44100		MPEG audio file			4	11/10/2013 3:04			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Gorillaz\Plastic Beach\04 Rhinestone Eyes.mp3
Dragonborn	Jeremy Soule		The Elder Scrolls V: Skyrim			9678053	237			1		2011	13/09/2013 21:03	24/09/2013 23:49	320	44100		MPEG audio file			6	15/11/2013 20:21			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Jeremy Soule\The Elder Scrolls V_ Skyrim\01 Dragonborn.mp3
Red River Rock	Johnny & The Hurricanes		The very Best of Rock'n Roll C		Blues	5350004	133			10		2001	23/10/2013 23:57	24/09/2013 23:49	320	44100		MPEG audio file			4	26/11/2013 1:02	2	28/11/2013 2:34	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Johnny & The Hurricanes\The Very Best Of Rock'N'Roll C\10 Red River Rock.mp3
In the End	Linkin Park	Linkin Park	Hybrid Theory		Alternative Metal	8689576	216	1	1	8		2000	13/09/2013 21:27	24/09/2013 23:49	320	44100		MPEG audio file			2	16/10/2013 0:21	1	28/11/2013 1:49	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Linkin Park\Hybrid Theory\08 In the End.mp3
In Pieces	Linkin Park		Minutes To Midnight		Alternative	8725413	218			11	12	2007	13/09/2013 21:27	24/09/2013 23:49	319	44100		MPEG audio file		Track 11	5	16/10/2013 1:21			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Linkin Park\Minutes To Midnight\11 In Pieces.mp3
Cocaine	Loic D				Techno	6155001	152					2010	31/10/2011 21:23	24/09/2013 23:49	320	48000		MPEG audio file		www.dvdvideosoft.com	7	24/10/2013 1:37			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Loic D\Unknown Album\Cocaine.mp3
Teardrop	Massive Attack		Mezzanine			13304370	332			3			13/09/2013 21:29	24/09/2013 23:49	320	44100		MPEG audio file			14	20/12/2013 3:12	4	28/11/2013 1:06	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Massive Attack\Mezzanine\03 Teardrop.mp3
Enter Sandman	Metallica	James Hetfield, Lars Ulrich and Kirk Hammett			Metal	5683596	331	1	1	1		1991	13/09/2013 21:03	24/09/2013 23:49	128	44100		MPEG audio file		 00000000 00000210 0000093C 0000000000DF1334 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000	7	12/12/2013 16:01			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Metallica\Unknown Album\01 Enter Sandman.mp3
Kids	MGMT	Andrew VanWyngarden/Ben Goldwasser	Oracular Spectacular		Indie	10084425	302			5		2007	13/09/2013 21:03	24/09/2013 23:49	266	44100		MPEG audio file			4		1	28/11/2013 1:06	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\MGMT\Oracular Spectacular\05 Kids.mp3
We Are All Made of Stars	Moby		Go - The Very Best of Moby		Techno	5092700	217	1	2	4		2006	13/09/2013 22:12	24/09/2013 23:49	186	44100		MPEG audio file		Released October 24, 2006   Recorded 1992-2006   Genre Techno, electronica, dance   Length 2:18:37 (U.S. version)   Label V2 / Mute	2	8/10/2013 1:23			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Moby\Go - The Very Best of Moby\1-04 We Are All Made of Stars.mp3
In This World	Moby		Go - The Very Best of Moby		Techno	5259811	206	1	2	7		2006	13/09/2013 21:30	24/09/2013 23:49	203	44100		MPEG audio file		Released October 24, 2006   Recorded 1992-2006   Genre Techno, electronica, dance   Length 2:18:37 (U.S. version)   Label V2 / Mute	1	8/10/2013 1:35			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Moby\Go - The Very Best of Moby\1-07 In This World.mp3
La La La - Naughty Boy (ft. Sam Smith)	Naughty Boy 					9159596	223					2013	30/08/2013 20:47	24/09/2013 23:49	320	48000		MPEG audio file			2	24/10/2013 1:41			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Naughty Boy\Unknown Album\La La La - Naughty Boy (ft. Sam Smit.mp3
The Fallen	Negative A				Hardcore	7793269	194						7/01/2014 22:41	7/01/2014 22:41	320	44100		MPEG audio file		From spotify by Emile					80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Negative A\Unknown Album\The Fallen.mp3
Creators of the core	Neophyte Records		(Club ZAK) Official Aftermovie			4927616	251			1		2011	24/02/2011 13:54	24/09/2013 23:49	154	48000		MPEG audio file			1				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Neophyte Records\(Club ZAK) Official Aftermovie\01 Creators of the core.mp3
Army Of Hardcore	Neophyte vs Stunned Guys		Traxtorm Power - The Best Of Italian Hardcore		Hardcore	5699360	237	2	2	18		2001	5/11/2013 19:12	24/09/2013 23:49	192	44100		MPEG audio file		Demoniac	3				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Neophyte vs The Stunned Guys\Traxtorm Power - The Best Of Italian Har\2-18 Army Of Hardcore.mp3
We Can Only Live Today (Puppy)	Netsky		Netsky		Dance	8308492	204	1	1	1	4	2012	11/06/2013 19:09	24/09/2013 23:49	320	44100		MPEG audio file			6	20/12/2013 3:28			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Netsky\Netsky\01 We Can Only Live Today (Puppy).mp3
Dark Chest of Wonders	Nightwish	Tuomas Holopainen	Once		Metal	6925627	273			1		2004	13/09/2013 21:26	24/09/2013 23:49	202	44100		MPEG audio file			7	7/11/2013 16:25			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Nightwish\Once\01 Dark Chest of Wonders.mp3
Smells Like Teen Spirit	Nirvana		Nevermind		Alternative	12553845	301	1	1	1	12	1991	13/09/2013 22:14	24/09/2013 23:49	320	44100		MPEG audio file			1	28/09/2013 19:22			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Nirvana\Nevermind\01 Smells Like Teen Spirit.mp3
Come As You Are	Nirvana		Nevermind		Alternative	9261392	219	1	1	3	12	1991	13/09/2013 22:14	24/09/2013 23:49	320	44100		MPEG audio file			1	28/09/2013 19:31			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Nirvana\Nevermind\03 Come As You Are.mp3
Come As You Are	Nirvana		The Ultimate Best Of Nirvana [Remastered]		Grunge	9482910	221			1		2011	11/03/2013 15:59	24/09/2013 23:49	320	44100		MPEG audio file		© ¤ @	3	3/11/2013 8:38	1	8/11/2013 19:00	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Compilations\The Ultimate Best Of Nirvana [Remastered\01 Come As You Are.mp3
Smells Like Teen Spirit	Nirvana		The Ultimate Best Of Nirvana [Remastered]		Grunge	12742992	302			9		2011	11/03/2013 15:59	24/09/2013 23:49	320	44100		MPEG audio file		© ¤ @	2				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Compilations\The Ultimate Best Of Nirvana [Remastered\09 Smells Like Teen Spirit.mp3
The Pope of Dope	Party Harders Vs The Subs	http:/0daymusic.org/ftp.php	The Pope of Dope		Techno	10019570	250			1		2010	4/11/2013 22:32	4/11/2013 22:34	320	44100		MPEG audio file		http://0daymusic.org/ftp.php	2	8/11/2013 18:00			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Party Harders_The Subs\The Pope of Dope\01 The Pope of Dope.mp3
Set Me On Fire	Pendulum		Immersion		Dubstep	12129322	302			4	15	2010	13/09/2013 21:23	24/09/2013 23:49	320	44100		MPEG audio file			4	20/11/2013 23:31			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Pendulum\Immersion\04 Set Me On Fire.mp3
Blood Sugar	Pendulum		Pendulum Essential Mix (18-09-05)		Drum & Bass	3511657	164			1	55	2005	13/09/2013 21:25	24/09/2013 23:49	160	44100		MPEG audio file			2				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Pendulum\Pendulum Essential Mix (18-09-05)\01 Blood Sugar.mp3
Every Breath You Take	The Police					4298965	235			1		2011	13/09/2013 21:27	24/09/2013 23:49	144	44100		MPEG audio file		www.dvdvideosoft.com	4	29/11/2013 3:14			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Police\Unknown Album\01 Every Breath You Take.mp3
Invaders Must Die	The Prodigy	Liam Howlett/Nick Halkes	Invaders Must Die		Breakbeat	9785725	295			1		2009	13/09/2013 21:25	24/09/2013 23:49	256	44100		AAC audio file		Cleaned by TuneUp!	6	4/01/2014 20:32	1	28/11/2013 1:08	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Prodigy\Invaders Must Die\01 Invaders Must Die.m4a
Out Of Space (Edit)	The Prodigy				Breakbeat	5342016	222			3	12	2000	24/10/2013 0:00	24/09/2013 23:49	192	48000		MPEG audio file		Cleaned by TuneUp!	1				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Prodigy\House Positiva Vol1. [Disc 2]\03 Out Of Space (Edit).mp3
Consoler of the Lonely	The Raconteurs		Consolers Of The Lonely		Alternative	7546880	205	1	1	1	14	2008	13/09/2013 21:37	24/09/2013 23:49	278	44100		MPEG audio file			6	28/11/2013 1:12			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Raconteurs\Consolers Of The Lonely\01 Consoler of the Lonely.mp3
King Henry's Hustle	Raf Riley		Now That's What I Call Gangster Beats!!		Gangster	18090133	241			3		2013	6/02/2013 18:24	24/09/2013 23:49	320	44100		MPEG audio file			5	23/12/2013 16:04			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Raf Riley\Now That's What I Call Gangster Beats!!\03 King Henry's Hustle.mp3
Gott Mit Uns	Sabaton		Carolus Rex		Power Metal	7841892	195			3		2012	13/09/2013 21:36	24/09/2013 23:49	320	44100		MPEG audio file			5	8/11/2013 20:11			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Sabaton\Carolus Rex\03 Gott Mit Uns.mp3
A Lifetime Of War	Sabaton		Carolus Rex		Power Metal	13838566	345			4		2012	13/09/2013 21:36	24/09/2013 23:49	320	44100		MPEG audio file			5	8/11/2013 20:17			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Sabaton\Carolus Rex\04 A Lifetime Of War.mp3
Scary Monsters and Nice Sprites	Skrillex		Scary Monsters and Nice Sprites		Electronica	10401951	243			2		2010	13/09/2013 21:33	24/09/2013 23:49	320	48000		MPEG audio file			9	10/12/2013 19:29			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Skrillex\Scary Monsters and Nice Sprites\02 Scary Monsters and Nice Sprites.mp3
Alors On Danse	Stromae	Stromae	Cheese		Electronic	6656462	207			5		2010	13/09/2013 21:33	24/09/2013 23:49	256	44100		MPEG audio file		 0000078A 000007A1 0000303C 00002FF2 0002B029 0002B012 00008000 00008000 0000C1EC 0000BC06	2				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Stromae\Cheese\05 Alors On Danse.mp3
The Face Of The Planet	The Subs		Decontrol		Electronic	10061804	251			1		2011	4/03/2012 0:27	24/09/2013 23:49	320	44100		MPEG audio file			8	4/01/2014 20:08			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Subs\Decontrol\01 The Face Of The Planet.mp3
Don't Stop (feat. Highbloo)	The Subs		Decontrol		Electronic	10280197	256			2		2011	4/03/2012 0:27	24/09/2013 23:49	320	44100		MPEG audio file			7				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Subs\Decontrol\02 Don't Stop (feat. Highbloo).mp3
Pieces-(www.warezcorps.com)	Sum 41	(www.warezcorps.com)	Chuck			2914432	182			11		2004	26/06/2013 16:29	24/09/2013 23:49	128	44100		MPEG audio file		(www.warezcorps.com)	1				80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Sum 41\Chuck\11 Pieces-(www.warezcorps.com).mp3
Psycho	System Of A Down	Daron Malakian/Serj Tankian	Toxicity		Alternative Metal	3620918	226			13		2001	22/09/2010 2:07	1/11/2013 20:20	128	44100		MPEG audio file			2	14/11/2013 13:11			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System of a Down\Toxicity\13 Psycho.mp3
Seven Nation Army	The White Stripes	Jack White	Elephant		Rock	3993747	231			1		2003	13/09/2013 21:34	24/09/2013 23:49	133	44100		MPEG audio file		 000011E9 00000CE7 0000B1CA 00008FBB 0001DBA5 0001CE67 00008000 00008000 00002447 00002447	10	13/11/2013 1:12	1	28/11/2013 1:12	80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The White Stripes\Elephant\01 Seven Nation Army.mp3
About You	XXYYXX		XXYYXX			9962063	247			1		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	5	20/12/2013 4:30			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\01 About You.mp3
Requiem for a dream			Brol			5899956	245						8/03/2012 0:15	24/09/2013 23:49	192	44100		MPEG audio file			1	24/10/2013 0:10			80	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Vanalles\Brol\Requiem for a dream.mp3
You Know You Like it	Aluna George		You Know You Like it		Pop	6700195	209						28/08/2013 20:47	24/09/2013 23:49	256	44100		MPEG audio file			3	20/11/2013 22:09	2	28/11/2013 1:13	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Aluna George\You Know You Like it\You Know You Like it.mp3
Doom Over Dead Man	Amon Amarth		Surtur Rising		Metal	14254017	355			10		2011	7/05/2011 12:11	24/09/2013 23:49	320	44100		MPEG audio file		Toutatis || www.mediaboom.org	3	10/12/2013 0:41			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Amon Amarth\Surtur Rising\10 Doom Over Dead Man.mp3
Rococo	Arcade Fire	Arcade Fire	The Suburbs		Rock	10144743	236			4	16	2010	13/09/2013 21:48	24/09/2013 23:49	320	44100		MPEG audio file		 000016CA 00001566 0000736D 00008200 000252EB 00027BEB 00008000 00008000 00000B28 0000356C	7	2/12/2013 3:25			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Arcade Fire\The Suburbs\04 Rococo.mp3
Teddy Picker	Arctic Monkeys	Arctic Monkeys	Favourite Worst Nightmare		Indie Rock	5855696	163	1	1	2	12	2007	6/08/2013 14:58	1/11/2013 20:20	256	44100		AAC audio file			4	2/01/2014 18:54			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Arctic Monkeys\Favourite Worst Nightmare\02 Teddy Picker.m4a
D Is For Dangerous	Arctic Monkeys	Arctic Monkeys	Favourite Worst Nightmare		Indie Rock	4640672	136	1	1	3	12	2007	6/08/2013 14:58	1/11/2013 20:20	256	44100		AAC audio file			4	2/01/2014 18:56			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Arctic Monkeys\Favourite Worst Nightmare\03 D Is For Dangerous.m4a
Alleluja Motherfuckers	Art Of Fighters vs Nicco & Tetta		Traxtorm Power - The Best Of Italian Hardcore		Hardcore	4594077	191	1	2	4		2001	31/12/2012 0:02	24/09/2013 23:49	192	44100		MPEG audio file		Demoniac     vs Nicco & Tetta	1		1	2/12/2013 3:26	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Art Of Fighters\Traxtorm Power - The Best Of Italian Har\1-04 Alleluja Motherfuckers.mp3
Jump On My Shoulders	Awolnation		Megalithic Symphony (Advance)		Electronic	9950896	248			5		2011	13/09/2013 21:50	24/09/2013 23:49	320	44100		MPEG audio file		reference libFLAC 1.2.1 20070917	9	4/12/2013 3:03	2	7/11/2013 14:30	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Awolnation\Megalithic Symphony (Advance)\05 Jump On My Shoulders.mp3
Burn It Down	Awolnation		Megalithic Symphony (Advance)		Electronic	6618459	165			6		2011	13/09/2013 21:50	24/09/2013 23:49	320	44100		MPEG audio file		reference libFLAC 1.2.1 20070917	6	4/12/2013 3:05			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Awolnation\Megalithic Symphony (Advance)\06 Burn It Down.mp3
Guilty Filthy Soul	Awolnation		Megalithic Symphony (Advance)		Electronic	8552884	213			7		2011	13/09/2013 21:51	24/09/2013 23:49	320	44100		MPEG audio file		reference libFLAC 1.2.1 20070917	6	2/01/2014 17:48			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Awolnation\Megalithic Symphony (Advance)\07 Guilty Filthy Soul.mp3
Wake Up	Awolnation		Megalithic Symphony (Advance)		Electronic	7313678	182			11		2011	2/04/2012 19:21	24/09/2013 23:49	320	44100		MPEG audio file		reference libFLAC 1.2.1 20070917	9	2/01/2014 17:59			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Awolnation\Megalithic Symphony (Advance)\11 Wake Up.mp3
Futura	Battles		Gloss Drop		Rock	15104106	377			3		2011	17/11/2011 15:58	24/09/2013 23:49	320	44100		MPEG audio file			6	10/12/2013 16:56	1	28/11/2013 1:13	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Battles\Gloss Drop\03 Futura.mp3
Come Together	The Beatles	John Lennon/Paul McCartney			Rock	6284390	259			1	17	2009	18/10/2013 1:22	24/09/2013 23:49	193	44100		MPEG audio file			4	14/11/2013 0:45			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Beatles\Abbey Road\01 Come Together.mp3
